n,E,dd,hh,inv_C_start,inv_C_end,Qsc_start,Qsc_end,Qsc_MACRS,Voc_MACRS,FOMS
2,5,0.5,0.0625,1.77371E+11,5.20398E+11,2.48967E-09,3.29299E-09,8.03315E-10,1272.066576,0.004787508
2,5,0.5,0.125,3.18643E+11,6.17482E+11,2.461E-09,3.1296E-09,6.68599E-10,1148.290465,0.00444929
2,5,0.5,0.25,5.39889E+11,7.54172E+11,2.40939E-09,2.88831E-09,4.78917E-10,877.4768992,0.003155747
2,5,0.5,0.5,8.44529E+11,9.54382E+11,2.32444E-09,2.58753E-09,2.63084E-10,506.4308574,0.001323806
2,5,0.5,1,1.19734E+12,1.2308E+12,2.20684E-09,2.30357E-09,9.67374E-11,192.9146551,0.000241596
2,5,1,0.00390625,21645236710,2.99841E+11,2.93956E-09,3.50724E-09,5.67684E-10,987.9882639,0.001101545
2,5,1,0.0078125,42366283844,3.69196E+11,2.93755E-09,3.49204E-09,5.54486E-10,1164.791974,0.00134537
2,5,1,0.015625,81746714461,4.33103E+11,2.93333E-09,3.46286E-09,5.29526E-10,1259.983396,0.0015349
2,5,1,0.03125,1.5357E+11,5.02958E+11,2.92428E-09,3.41109E-09,4.86813E-10,1266.552993,0.001654257
2,5,1,0.0625,2.77702E+11,5.94315E+11,2.90677E-09,3.32572E-09,4.18953E-10,1169.30924,0.00162735
2,5,1,0.125,4.74444E+11,7.17374E+11,2.87269E-09,3.19261E-09,3.19924E-10,927.3667998,0.00129697
2,5,1,0.25,7.51047E+11,8.90572E+11,2.81049E-09,3.00594E-09,1.95451E-10,566.1979555,0.000666768
2,5,1,0.5,1.08206E+12,1.13151E+12,2.70467E-09,2.78574E-09,8.10649E-11,225.4609706,0.000154663
2,5,1,1,1.40663E+12,1.41496E+12,2.5499E-09,2.5684E-09,1.85007E-11,47.39948065,1.02682E-05
