n,A,E,dd,d,hh,h,V
2,0.0,7,1.0,0.0075,0.5,0.0075,-2981.198557
2,0.0,7,1.0,0.015,1.0,0.015,-3673.579927
2,0.0,10,0.03125,1.83e-06,0.00390625,5.86e-05,-2.043020467
2,0.0,10,0.03125,3.66e-06,0.0078125,0.000117,-4.069054181
2,0.0,10,0.03125,7.32e-06,0.015625,0.000234,-8.085073316
2,0.0,10,0.03125,1.46e-05,0.03125,0.000469,-16.03047748
2,0.0,10,0.03125,2.93e-05,0.0625,0.000938,-31.60796894
2,0.0,10,0.03125,5.86e-05,0.125,0.001875,-61.5586992
2,0.0,10,0.03125,0.000117,0.25,0.00375,-118.1601754
2,0.0,10,0.03125,0.000234,0.5,0.0075,-220.9864629
2,0.0,10,0.03125,0.000469,1.0,0.015,-395.48915
2,0.0,10,0.0625,3.66e-06,0.00390625,5.86e-05,-4.078210434
2,0.0,10,0.0625,7.32e-06,0.0078125,0.000117,-8.119434077
2,0.0,10,0.0625,1.46e-05,0.015625,0.000234,-16.11388894
2,0.0,10,0.0625,2.93e-05,0.03125,0.000469,-31.87098447
2,0.0,10,0.0625,5.86e-05,0.0625,0.000938,-62.42709416
2,0.0,10,0.0625,0.000117,0.125,0.001875,-120.7226361
2,0.0,10,0.0625,0.000234,0.25,0.00375,-228.4096271
2,0.0,10,0.0625,0.000469,0.5,0.0075,-414.8890567
2,0.0,10,0.0625,0.000938,1.0,0.015,-711.5137716
2,0.0,10,0.125,7.32e-06,0.00390625,5.86e-05,-8.143637035
2,0.0,10,0.125,1.46e-05,0.0078125,0.000117,-16.18701289
2,0.0,10,0.125,2.93e-05,0.015625,0.000234,-32.03062074
2,0.0,10,0.125,5.86e-05,0.03125,0.000469,-62.99519816
2,0.0,10,0.125,0.000117,0.0625,0.000938,-122.5622636
2,0.0,10,0.125,0.000234,0.125,0.001875,-233.5912214
2,0.0,10,0.125,0.000469,0.25,0.00375,-429.7307161
2,0.0,10,0.125,0.000938,0.5,0.0075,-749.3276194
2,0.0,10,0.125,0.001875,1.0,0.015,-1210.427751
2,0.0,10,0.25,1.46e-05,0.00390625,5.86e-05,-16.22100214
2,0.0,10,0.25,2.93e-05,0.0078125,0.000117,-32.18206558
2,0.0,10,0.25,5.86e-05,0.015625,0.000234,-63.37270655
2,0.0,10,0.25,0.000117,0.03125,0.000469,-123.5469475
2,0.0,10,0.25,0.000234,0.0625,0.000938,-237.050992
2,0.0,10,0.25,0.000469,0.125,0.001875,-440.0901349
2,0.0,10,0.25,0.000938,0.25,0.00375,-778.6381469
2,0.0,10,0.25,0.001875,0.5,0.0075,-1282.606153
2,0.0,10,0.25,0.00375,1.0,0.015,-1915.212085
2,0.0,10,0.5,2.93e-05,0.00390625,5.86e-05,-32.24078314
2,0.0,10,0.5,5.86e-05,0.0078125,0.000117,-63.63153021
2,0.0,10,0.5,0.000117,0.015625,0.000234,-124.3129573
2,0.0,10,0.5,0.000234,0.03125,0.000469,-239.2434247
2,0.0,10,0.5,0.000469,0.0625,0.000938,-447.476151
2,0.0,10,0.5,0.000938,0.125,0.001875,-800.2806462
2,0.0,10,0.5,0.001875,0.25,0.00375,-1340.662919
2,0.0,10,0.5,0.00375,0.5,0.0075,-2049.468083
2,0.0,10,0.5,0.0075,1.0,0.015,-2795.564183
2,0.0,10,1.0,5.86e-05,0.00390625,5.86e-05,-63.71740369
2,0.0,10,1.0,0.000117,0.0078125,0.000117,-124.7727078
