A,E,dd,hh,n,d (m),h1 (m),es.V0_1-es.V0_2 (V)
0.5,1,0.25,0.25,64,9.375E-4,0.00375,525.6486889326898
0.5,1,0.25,0.5,64,0.001875,0.0075,808.6259220957576
0.5,1,0.25,1,64,0.00375,0.015,1082.431145348426
0.5,1,0.5,0.00390625,64,2.9296875E-5,5.859375E-5,-16.032093831615356
0.5,1,0.5,0.0078125,64,5.859375E-5,1.171875E-4,-5.483416086388437
0.5,1,0.5,0.015625,64,1.171875E-4,2.34375E-4,16.263626213836094
0.5,1,0.5,0.03125,64,2.34375E-4,4.6875E-4,52.959057984126666
0.5,1,0.5,0.0625,64,4.6875E-4,9.375E-4,110.16039867412717
0.5,1,0.5,0.125,64,9.375E-4,0.001875,198.74657537616278
0.5,1,0.5,0.25,64,0.001875,0.00375,328.07309085110006
0.5,1,0.5,0.5,64,0.00375,0.0075,483.9034030376625
0.5,1,0.5,1,64,0.0075,0.015,604.1543489427961
0.5,1,1,0.00390625,64,5.859375E-5,5.859375E-5,-23.255456577646505
0.5,1,1,0.0078125,64,1.171875E-4,1.171875E-4,-18.622529646724175
0.5,1,1,0.015625,64,2.34375E-4,2.34375E-4,-10.642349712627652
0.5,1,1,0.03125,64,4.6875E-4,4.6875E-4,-3.263412097649125
0.5,1,1,0.0625,64,9.375E-4,9.375E-4,-0.35470380326515993
0.5,1,1,0.125,64,0.001875,0.001875,-0.04374897622491147
0.5,1,1,0.25,64,0.00375,0.00375,-0.036837735556588314
0.5,1,1,0.5,64,0.0075,0.0075,-0.06045268391187619
0.5,1,1,1,64,0.015,0.015,-0.08935223249079627
0.5,2,0.03125,0.00390625,64,1.8310546875E-6,5.859375E-5,-13.797719346264422
0.5,2,0.03125,0.0078125,64,3.662109375E-6,1.171875E-4,-5.223215704231989
0.5,2,0.03125,0.015625,64,7.32421875E-6,2.34375E-4,14.241030937494006
0.5,2,0.03125,0.03125,64,1.46484375E-5,4.6875E-4,54.32528361905683
0.5,2,0.03125,0.0625,64,2.9296875E-5,9.375E-4,130.57784869280502
0.5,2,0.03125,0.125,64,5.859375E-5,0.001875,270.42178763287757
0.5,2,0.03125,0.25,64,1.171875E-4,0.00375,506.51062457846615
0.5,2,0.03125,0.5,64,2.34375E-4,0.0075,872.5966405455506
0.5,2,0.03125,1,64,4.6875E-4,0.015,1349.2812894430613
0.5,2,0.0625,0.00390625,64,3.662109375E-6,5.859375E-5,-14.658739904362719
0.5,2,0.0625,0.0078125,64,7.32421875E-6,1.171875E-4,-6.734372831417832
0.5,2,0.0625,0.015625,64,1.46484375E-5,2.34375E-4,11.765840631472523
0.5,2,0.0625,0.03125,64,2.9296875E-5,4.6875E-4,50.104791121919476
0.5,2,0.0625,0.0625,64,5.859375E-5,9.375E-4,122.9924450612796
0.5,2,0.0625,0.125,64,1.171875E-4,0.001875,255.6589363872588
0.5,2,0.0625,0.25,64,2.34375E-4,0.00375,478.4758135217862
0.5,2,0.0625,0.5,64,4.6875E-4,0.0075,816.6085351541847
0.5,2,0.0625,1,64,9.375E-4,0.015,1243.733702219034
0.5,2,0.125,0.00390625,64,7.32421875E-6,5.859375E-5,-16.21547788887115
0.5,2,0.125,0.0078125,64,1.46484375E-5,1.171875E-4,-9.24534185572995
0.5,2,0.125,0.015625,64,2.9296875E-5,2.34375E-4,7.662922517746067
0.5,2,0.125,0.03125,64,5.859375E-5,4.6875E-4,42.900703766784964
0.5,2,0.125,0.0625,64,1.171875E-4,9.375E-4,109.1931655255935
0.5,2,0.125,0.125,64,2.34375E-4,0.001875,227.55225782030004
0.5,2,0.125,0.25,64,4.6875E-4,0.00375,421.7496987893539
0.5,2,0.125,0.5,64,9.375E-4,0.0075,708.7411953682288
0.5,2,0.125,1,64,0.001875,0.015,1053.7471795555036
0.5,2,0.25,0.00390625,64,1.46484375E-5,5.859375E-5,-18.901003338435196
0.5,2,0.25,0.0078125,64,2.9296875E-5,1.171875E-4,-13.579099591203082
0.5,2,0.25,0.015625,64,5.859375E-5,2.34375E-4,0.45722402380399174
0.5,2,0.25,0.03125,64,1.171875E-4,4.6875E-4,29.393575456674952
0.5,2,0.25,0.0625,64,2.34375E-4,9.375E-4,81.42180894419394
0.5,2,0.25,0.125,64,4.6875E-4,0.001875,170.51739865645453
0.5,2,0.25,0.25,64,9.375E-4,0.00375,312.5986766872313
0.5,2,0.25,0.5,64,0.001875,0.0075,514.6436699561644
0.5,2,0.25,1,64,0.00375,0.015,739.0944483197758
0.5,2,0.5,0.00390625,64,2.9296875E-5,5.859375E-5,-23.527410378165786
0.5,2,0.5,0.0078125,64,5.859375E-5,1.171875E-4,-21.144653656856804
0.5,2,0.5,0.015625,64,1.171875E-4,2.34375E-4,-13.37080476900242
0.5,2,0.5,0.03125,64,2.34375E-4,4.6875E-4,1.440294542895261
0.5,2,0.5,0.0625,64,4.6875E-4,9.375E-4,24.652082707897804
0.5,2,0.5,0.125,64,9.375E-4,0.001875,60.79689456594664
0.5,2,0.5,0.25,64,0.001875,0.00375,116.44693839388731
0.5,2,0.5,0.5,64,0.00375,0.0075,194.66218642831691
0.5,2,0.5,1,64,0.0075,0.015,276.5799062419833
0.5,2,1,0.00390625,64,5.859375E-5,5.859375E-5,-31.80760411274607
0.5,2,1,0.0078125,64,1.171875E-4,1.171875E-4,-35.668590714457984
0.5,2,1,0.015625,64,2.34375E-4,2.34375E-4,-41.623891258116004
0.5,2,1,0.03125,64,4.6875E-4,4.6875E-4,-55.4119875858884
0.5,2,1,0.0625,64,9.375E-4,9.375E-4,-85.40151369226223
0.5,2,1,0.125,64,0.001875,0.001875,-136.02547980708124
0.5,2,1,0.25,64,0.00375,0.00375,-206.0222874041083
0.5,2,1,0.5,64,0.0075,0.0075,-273.70995996093103
0.5,2,1,1,64,0.015,0.015,-295.4215737384765
0.75,1,0.03125,0.00390625,64,1.8310546875E-6,5.859375E-5,11.736211884259813
0.75,1,0.03125,0.0078125,64,3.662109375E-6,1.171875E-4,35.476676220142366
0.75,1,0.03125,0.015625,64,7.32421875E-6,2.34375E-4,82.98454544063108
0.75,1,0.03125,0.03125,64,1.46484375E-5,4.6875E-4,174.08543012546178
0.75,1,0.03125,0.0625,64,2.9296875E-5,9.375E-4,342.1044857853935
0.75,1,0.03125,0.125,64,5.859375E-5,0.001875,637.8121544904964
0.75,1,0.03125,0.25,64,1.171875E-4,0.00375,1115.5580674130147
0.75,1,0.03125,0.5,64,2.34375E-4,0.0075,1802.4424030242553
0.75,1,0.03125,1,64,4.6875E-4,0.015,2623.092858298445
0.75,1,0.0625,0.00390625,64,3.662109375E-6,5.859375E-5,11.53392084805774
0.75,1,0.0625,0.0078125,64,7.32421875E-6,1.171875E-4,35.177874910704375
0.75,1,0.0625,0.015625,64,1.46484375E-5,2.34375E-4,82.57321493022587
0.75,1,0.0625,0.03125,64,2.9296875E-5,4.6875E-4,173.33446499582107
0.75,1,0.0625,0.0625,64,5.859375E-5,9.375E-4,339.9208486506021
0.75,1,0.0625,0.125,64,1.171875E-4,0.001875,631.0228222179645
0.75,1,0.0625,0.25,64,2.34375E-4,0.00375,1098.0866642162637
0.75,1,0.0625,0.5,64,4.6875E-4,0.0075,1759.996134263563
0.75,1,0.0625,1,64,9.375E-4,0.015,2532.031132437398
0.75,1,0.125,0.00390625,64,7.32421875E-6,5.859375E-5,11.131883234165818
0.75,1,0.125,0.0078125,64,1.46484375E-5,1.171875E-4,34.6341057582724
0.75,1,0.125,0.015625,64,2.9296875E-5,2.34375E-4,81.78854263525491
0.75,1,0.125,0.03125,64,5.859375E-5,4.6875E-4,171.63452553359537
0.75,1,0.125,0.0625,64,1.171875E-4,9.375E-4,334.7314239101952
0.75,1,0.125,0.125,64,2.34375E-4,0.001875,615.6399667394123
